SMILES,pKa
CCCOP(C)(=O)SCCN(C)C,7.77
Cn1cnc(=N)c2ccccc21,11.15
CC1CN=C(C(C)(C)C)S1,5.018666666666667
CCCNCCNCCC,10.27
COc1ccc(CC(C)N)cc1,9.53
Cc1ccc2c(c1)NCCN2,4.97
CNc1nc(N)cc(Cl)n1,3.79
COC(=O)C(N)CN,8.33
Cc1cccc(C(O)CNC(C)C)c1,9.45
CC[As](=O)(CC)c1ccc(N(C)C)cc1,3.61
Nc1nc(N(CCO)CCO)nc(N(CCO)CCO)n1,5.15
CCCCCCNc1ncnc2c1cnn2C,4.2
Cc1nnc(N)n(C)c1=O,4.52
CN(C)c1nc(N(C)C)c2[nH]c(=O)cnc2n1,5.1
CSc1ccc(N)cn1,3.03
CC(C)NC(=N)Cc1cccc2ccccc12,11.7
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,8.21
Nc1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,3.86
Cn1c(N2CCCCC2)nc2cncnc21,4.06
CC(C[C@H](N)C(=O)O)C(F)(F)F,2.045
COc1ccccc1N,4.5156363636363634
CC(C)(C)c1nccs1,3.075
CCCNC(=N)Cc1ccccc1,11.97
CN1C=CC=C(S)C1,2.25
Cc1n[nH]cc1Cl,1.42
Cc1ncc2ccccc2n1,4.51
COC(=O)[C@@H](N)CC(C)C,7.625
COC(=O)[C@@H](N)C(C)C,7.49
Cc1ncc(COP(=O)(O)O)c(CN)c1O,3.69
Cc1cc2ncn([C@@H]3OC[C@@H](O)[C@@H](O)[C@H]3O)c2cc1C,4.68
C1CNCCN1,9.766818181818184
COC(=O)[C@@H](N)Cc1cnc[nH]1,7.376666666666666
CCOC1CN(C)c2c([N+](=O)[O-])c(=O)n(C)c(=N)n21,4.91
NCCSC[C@H](N)C(=O)O,8.22
CCCCN1CCCCC1,10.45
NC(=O)C[C@H](N)C(=O)O,2.1765
CC(C)C1=Nc2ccccc2C(O)N1,8.41
Nc1ccn(-c2ccccc2)n1,2.96
Nc1ccc2nc3ccc(N)cc3cc2c1,6.14
Cc1cc(N)cc2ccccc12,4.31
CCCCCCCN(CC[N+]1(C)CCCCC1)c1ccccc1,3.21
N[C@@H]1CCC[C@@H]1O,9.7
Nc1cccc(S(N)(=O)=O)c1,2.9
CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](N)[C@@H]1O,7.58
OCCN(CCO)c1ccccc1,4.25
CSc1ncc(C)s1,2.55
CCCCN1CCCC1C,10.61
Nc1ccc(Cl)cc1,3.9945384615384616
CCN(CCCl)CCCl,6.55
CC1=Nc2ccc(F)cc2C(O)(C(N)=O)N1,7.13
C=C=Cc1c(C)nc(NC)nc1C,4.85
CNc1nccc(N(C)C)n1,8.1
Cc1ccnc(N)n1,4.11
CCCn1cccnc1=O,2.7
Nc1cccc2c1CCCC2,4.47
Cc1ccc(N)c(N)c1,4.68
c1ccc2cc3[nH]cnc3cc2c1,5.21
c1ccc(CNc2ncnc3[nH]ncc23)cc1,4.12
ON=Cc1ccccn1,3.518571428571428
NCCCCCc1ccccc1,10.44
O=C(CCNC(=O)OCc1ccccc1)N[C@@H](Cc1cnc[nH]1)C(=O)O,2.69
CCCN[C@@H](C)C(=O)O,2.21
CNc1ncc2[nH]cnc2n1,3.99
COc1cc(N)cc2ccccc12,4.05
CN(N)c1ccccc1Cl,4.78
Cc1ccccc1N(C)N,5.29
NCCNCCO,9.69
Cc1cc(Cl)ccc1N,3.848
CN1c2cncnc2N=C(O)C1O,2.88
Nc1nnc(Cc2ccc(Cl)cc2)c(N)n1,6.47
CSc1ncnc2ccccc12,2.97
CC(C)NCC(O)c1ccc(O)cc1,9.17
CN(CCO)CCO,8.466666666666667
COc1ccc(CN(C)C)cc1,9.32
Cc1cc[nH]n1,3.32
NCCN(CCN)CCN(CCN)CCN,10.2
CC(C)(C#N)N1CCCCC1,9.22
COC1c2ccccc2N=CN1C,7.66
Cc1cncc(C)c1N(C)C,7.965
CCCCCc1ccccn1,6.0
CCOc1nc2cncnc2n1C,3.45
CCN(CC)CC#N,4.55
CCCC[C@H](N)C(=O)OC,7.682
O=[N+]([O-])c1cccc(-n2ccnc2)c1,5.07
CCOC(=O)c1cccnc1,3.35
NCCCCCCC(=O)O,4.502
c1ncc2[nH]ccc2n1,4.24
Cc1cc(C)nc(C)c1,7.3975
O=C1CNC2=NCCN12,6.82
CC1CCCN(C(C)C=C(c2cccs2)c2cccs2)C1,8.23
CCCC(=O)SCCN(C)C,8.32
C=CCNCC=C,9.29
CCCCOc1ccc(C(O)CNC(C)C)cc1OCCCC,9.58
N#CCCNN,5.91
CCN,10.698555555555554
Nc1cccc(OC(F)(F)C(F)(F)F)c1,3.24
Cc1cncs1,3.081666666666667
Nc1ccccc1,4.621545454545455
COc1cc(N)cc(Cl)c1,3.1
Cc1cnccc1[N+](=O)[O-],2.185
CCCON=Cc1ccncc1,4.79
