dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,500,20.0,5,3,0.5,0.702133341095345,0.9974938022294348,0.8873645801754692,1.3179897654211783,1.7117851003419933,0.5853576265195558
scaffold,200,20.0,5,1,0.3,0.6150051791024066,0.8553236546295493,0.9171837548095366,1.3180121454078289,1.677693168591115,0.6017092042134297
scaffold,1000,20.0,2,3,0.5,0.7020243458163117,0.9972283091463979,0.8874245303128739,1.3182039343549443,1.7107880206287354,0.5858405271956834
scaffold,1000,20.0,5,3,0.5,0.7020243458163116,0.9972283091463979,0.8874245303128739,1.3182039343549443,1.7107880206287354,0.5858405271956834
scaffold,1000,30.0,10,3,0.3,0.7064391906320828,0.9954985398643941,0.8878147332400366,1.3200968663960222,1.7055240259774234,0.5883852950478698
scaffold,200,20.0,5,3,0.5,0.707696959490911,1.005027181085864,0.8856568413408217,1.3207580183821004,1.7215210155015421,0.5806275898687361
scaffold,200,20.0,2,3,0.5,0.7076969594909112,1.005027181085864,0.8856568413408217,1.3207580183821004,1.7215210155015426,0.5806275898687359
scaffold,200,,10,3,0.3,0.6838385756820463,0.9713980038305084,0.8931808830070114,1.3208790899103589,1.70555334685093,0.5883711422053932
scaffold,500,,10,3,0.3,0.6794890829116155,0.9672123496981357,0.894099444926549,1.3217840922762312,1.709085003335087,0.5866646733522991
scaffold,500,20.0,10,3,0.5,0.7395311968675883,1.042160718848339,0.8770512919169589,1.3220654711765998,1.7156967596320447,0.583460434089068
scaffold,500,30.0,10,3,0.3,0.706093290823129,0.9958853471294636,0.8877275357103565,1.3226512867584337,1.7098739148403752,0.586282995139324
scaffold,1000,20.0,10,3,0.5,0.7406085219384191,1.0430440588560739,0.8768427798553563,1.323306807228155,1.7142828434130157,0.5841466968162158
scaffold,1000,20.0,10,3,0.3,0.7790467512818247,1.084332295722236,0.8668996013625785,1.3340360871999166,1.7176247356324996,0.5825237539881478
scaffold,500,30.0,5,5,0.5,0.7905273769848831,1.1086246819482704,0.8608690800145115,1.334333081355161,1.7429149641219626,0.5701394447748527
scaffold,500,30.0,10,5,0.5,0.790527376984883,1.1086246819482704,0.8608690800145115,1.334333081355161,1.7429149641219626,0.5701394447748527
scaffold,500,30.0,2,5,0.5,0.7905273769848831,1.1086246819482704,0.8608690800145115,1.334333081355161,1.7429149641219628,0.5701394447748527
scaffold,1000,20.0,2,3,0.3,0.7447764783768568,1.0429532360080727,0.876864226701064,1.3347774591675798,1.7195491291826295,0.5815877653184373
scaffold,1000,20.0,5,3,0.3,0.7447764783768568,1.0429532360080727,0.876864226701064,1.3347774591675803,1.7195491291826293,0.5815877653184374
scaffold,200,30.0,10,3,0.3,0.709987029387069,1.0008621585014452,0.8866025968965733,1.3348732334470568,1.728327915323936,0.5773046335311687
scaffold,500,,5,5,0.5,0.7831321430940922,1.1011381822797492,0.8627418267589356,1.3350688529909054,1.7433647240479468,0.5699175647629786
scaffold,500,,10,5,0.5,0.7831321430940922,1.1011381822797492,0.8627418267589356,1.3350688529909054,1.7433647240479468,0.5699175647629785
scaffold,500,,2,5,0.5,0.7831321430940922,1.1011381822797492,0.8627418267589356,1.3350688529909056,1.7433647240479468,0.5699175647629785
scaffold,1000,30.0,5,5,0.5,0.7901437857811556,1.1067372662019308,0.8613424130714198,1.3374321557036906,1.745649444839801,0.568789559658013
scaffold,1000,30.0,2,5,0.5,0.7901437857811557,1.1067372662019308,0.8613424130714198,1.3374321557036906,1.7456494448398012,0.5687895596580129
scaffold,1000,30.0,10,5,0.5,0.7901437857811556,1.1067372662019308,0.8613424130714198,1.3374321557036906,1.7456494448398012,0.5687895596580129
scaffold,1000,,5,5,0.5,0.7810277866337437,1.0971273410408244,0.8637399178762969,1.3383036550128853,1.746294904677503,0.5684706176410874
scaffold,1000,,10,5,0.5,0.7810277866337436,1.0971273410408244,0.8637399178762969,1.3383036550128853,1.746294904677503,0.5684706176410874
